id,ideia,categoria,descricao,paises,links,preco_observado,n_anunciantes,dias_anuncio_ativo_mais_antigo,variacoes_max,contagem_busca,saturacao_es_vs_pt,angulo_anuncio,sinais,eliminatoria_suspeita_fase1,fontes,eliminada,motivo_eliminacao,links_busca_adlibrary
L01,Mimo Gift Revenda (ferramenta/licença para criar e vender páginas de amor),Revenda de presente digital (página de amor),"O comprador recebe acesso a um editor de páginas de amor (fotos, mensagem, música, final interativo) e vende essas páginas a terceiros pelo WhatsApp e Instagram.",Nenhum anúncio de revenda visto nos 11 países ES nem no BR. B2C visto no BR (7 anunciantes) e no PE (sazonal).,https://www.facebook.com/ads/library/?id=936194465917663 | https://www.facebook.com/ads/library/?id=995698710027385 | https://www.facebook.com/ads/library/?id=800102429668832 | https://www.facebook.com/ads/library/?id=1323842319191326 | https://iloveyou.gift/ | https://qlovy.com/es/blog/regalo-digital-gratis,"Revenda: nenhuma oferta, sem referência de preço. B2C ES: iloveyou.gift 'desde $5'. Mimo: US$8–9.","0 (revenda, em 12 buscas ES e 6 BR). B2C BR: 7.","Revenda: não verificado. B2C BR: 457,1 (amoreetech); Seu Amor 338,5; qartinha 173,6; CoupleRewind 149,8.","10 (CoupleRewind, B2C BR)",'vende páginas personalizadas' ES11 = 4; 'regalos digitales vender' ES11 = 77 (ruído); BR 'revenda páginas personalizadas' = 1; BR 'vender páginas personalizadas' = 28,"Revenda inexistente nas duas línguas. B2C: longevo no BR, quase invisível na ES por palavra solta.",Teria de vender ganho ('gana vendiendo páginas'). O B2C vende emoção e reconquista.,"Nenhum vendedor de licença de revenda apareceu. O B2C é longevo no BR, mas com poucas variações por página (2–10). Daniela Michilena (USD) tem 14 anúncios há 46,2 d com 'El regalo que jamás olvidará', produto não identificado. A busca por palavra solta não prova que a oferta não existe.","E2 forte: sem revendedor visível, o anúncio teria de vender a promessa de ganho. E3 possível (suporte ao revendedor). E5 baixa (o Mimo existe; falta o painel multi-cliente).",fase1_hipoteses; fase1_meta_servicos,sim (E2),"Ninguém vende revenda de página de amor em ES nem no BR, e o cliente final já compra a página sozinho por US$5 (iloveyou.gift) ou US$8–9 (Mimo). A demo do produto vende o presente, não a licença, e o único gancho que sobra para o revendedor é 'gana vendiendo páginas'. E3 e E5 não pesam: o custo é de centavos por hospedagem e o painel multi-cliente sai em 14 dias.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=vende%20p%C3%A1ginas%20personalizadas&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=regalos%20digitales%20vender&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=revenda%20p%C3%A1ginas%20personalizadas&search_type=keyword_unordered
L02,"Invitaciones web (kit de revenda: página com fotos, música, contagem, RSVP)",Kit de revenda / ferramenta (convite web interativo),"Editor que gera uma página de convite (fotos, música, contagem regressiva, mapa, RSVP) com modelos por evento, para o comprador vender convites a clientes finais pelo WhatsApp.","MX, PE, CL, CO, AR, US (USD); BR como espelho",https://www.facebook.com/ads/library/?id=1376630554316244 | https://www.facebook.com/ads/library/?id=1708910720392963 | https://www.facebook.com/ads/library/?id=1950759622550013 | https://www.facebook.com/ads/library/?id=1042494484973953 | https://pay.hotmart.com/K102179105D | https://pay.hotmart.com/T102280557H,"Kits de US$3,7 a 14,99 (Kit Digital CLP 3.500; Someri MXN 99–119; rede 6U$D; Hotmart US$5, 10 e 14,99). O revendedor cobra do cliente final ~US$5–34. BR: R$47–67; a Convitia promete 'Fature até R$250 por convite'.",14 (13 donos de kit ou curso em 'invitaciones digitales para vender'). Proxy do top 50.,"118,8 (Kit Digital, que é template Canva). A única ferramenta web B2B vista (Event Builder Studio) tem 2,2 d.",33 (Convitia BR); 16 na ES,'invitaciones digitales para vender' ES11 = 86–88; 'emprende invitaciones interactivas' = 9; 'invitación interactiva' = 200; BR 'convite interativo vender' = 8,ES: formato ferramenta de revenda pouco explorado; template saturado. BR: validado pela Convitia.,"Misto: demonstração ('Mira como funciona') e promessa ('listas para VENDER', 'Fature até R$250').","Mega Plantillas tem 10 anúncios há 49,5 d ('Mira como funciona'). Web Online tem 9 há 21,4 d. Someri tem 3 há 8,5 d. No BR, a Convitia tem 33 há 76,9 d, com ângulo duplo (B2C e revenda). Já existem ~32 microempresas vendendo convite web. Quase todos os kits ES são template; um motor web com RSVP em kit low ticket quase não aparece.","E2 moderada ('listas para VENDER'). E4 leve (rede 6U$D). E5 moderada (editor, hospedagem e RSVP). E3 se o revendedor exigir suporte.",fase1_hipoteses; fase1_meta_servicos; fase1_hotmart_es; brasil_espelho; demanda,não,"Passa. Tem ângulo de demo honesto já observado ('Mira como funciona', 49,5 d), vender convite é negócio conhecido e há ângulo duplo (serve para o próprio evento). O custo marginal é só storage e tráfego, cerca de US$0,01–0,05 por convite. Sai em 14 dias sobre o código do Mimo (modelos por evento, contagem, mapa, RSVP no Supabase e painel com vários convites). Cuidados: limitar convites por licença ou expirar após o evento, e não vender direito de revenda dos modelos.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=invitaciones%20digitales%20para%20vender&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=emprende%20invitaciones%20interactivas&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=invitaci%C3%B3n%20interactiva&search_type=keyword_unordered
L03,Editor self-service de invitación web low ticket (B2C),Ferramenta / entregável personalizado (convite web),"O próprio anfitrião monta o convite web (fotos, música, contagem, mapa, RSVP) em minutos e recebe o link na hora. Bumps: modelo extra, lista de RSVP, save the date, álbum.","MX, PE, AR, CL, CO, GT, BO, UY, US; BR como espelho",https://www.facebook.com/ads/library/?id=1290146059969674 | https://www.facebook.com/ads/library/?id=1894344334607556 | https://www.facebook.com/ads/library/?id=1066163912961541 | https://www.facebook.com/ads/library/?id=1593301982261896 | https://www.facebook.com/ads/library/?id=2258326214989459 | https://hotmart.com/es/marketplace/productos/invitaciones-digitales-tipo-sitio-web/O101247541J,"Serviço sob encomenda de US$5 a 34 ($99 MXN, $499 MXN, S/95,90–125,90). SaaS Invitio: 599 MXN, pagamento único. BR: Convitia freemium; serviço R$37–99.",32 (distintos em 'confirmación de asistencia'; proxy do top 50),"126,5 (Tarjetas Interactivas)",43 (Corazón de Fiesta),'invitación web' = 653; 'invitaciones digitales' = 1.139–1.286; 'invitación confirmación de asistencia' = 463; 'invitación digital baby shower' = 139,"ES: demanda atendida por serviço manual ou SaaS caro; editor barato ausente. BR: 'convite interativo' = 598, Convitia freemium.","Vende o produto ('Tu invitación web por solo $99', 'Veja seu convite antes de pagar').","My Invite tem 16 anúncios há 116,3 d. Invitio tem 12 há 112,5 d ('Pago único'). Miboda.love tem 16 há 108,9 d. Corazón de Fiesta tem 43 ou mais há 64,4 d ou mais. Na ES não vi editor self-service abaixo de ~US$10.","Nenhuma forte. Fica fora do nicho 'renda extra', a não ser com ângulo duplo. E5 moderada.",fase1_hipoteses; fase1_meta_servicos; fase1_hotmart_es; brasil_espelho,sim (E0),"Como está descrito e anunciado ('Tu invitación web por solo $99'), é para o anfitrião usar no próprio evento, sem ângulo de renda. Em E1–E5 passaria: ferramenta demonstrável, custo de centavos e montável em 14 dias. A versão com ângulo duplo é o L02.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=invitaci%C3%B3n%20web&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=invitaciones%20digitales&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=invitaci%C3%B3n%20confirmaci%C3%B3n%20de%20asistencia&search_type=keyword_unordered
L04,Kit de revenda de invitaciones web de XV años,Kit de revenda (nicho XV años),"Editor e modelos de convite web só para XV años (padrinos, música, RSVP), com mensagens prontas para vender a mães e quinceañeras.","MX, PE, AR, US hispano; BR (15 anos)",https://www.facebook.com/ads/library/?id=1894344334607556 | https://www.facebook.com/ads/library/?id=1100749419578158 | https://www.facebook.com/ads/library/?id=1075645465174376 | https://www.facebook.com/ads/library/?id=1871601350828706 | https://www.facebook.com/ads/library/?id=926250710492880 | https://pay.hotmart.com/T102280557H,"Someri MXN 119,20 (inclui bodas e XV); Hotmart 'PACK BODA Y QUINCEAÑOS' US$5 (snippet)",8 (com XV no título),"116,3 (My Invite)",16,'invitación digital XV años' ES11 = 225,"ES: serviços, sem kit de ferramenta dedicado. BR: ângulo usado pela Convitia.",Ganho por convite (BR) ou demonstração do convite de XV.,"My Invite, Limasystem, DLC.Invitaciones, Calixta Card e Someri anunciam convite de XV. No BR, a Convitia usa 'Ganhe até R$200 por convite de 15 anos'.",E2 moderada. Nicho estreito. E5 moderada.,fase1_hipoteses,não,"Passa. Dá para anunciar só com a demo do convite de XV (padrinos, música, RSVP), sem citar valor, e há ângulo duplo (a mãe usa na festa da filha ou vende). O custo marginal é de centavos por hospedagem e o motor é o mesmo do L02, então sai em 14 dias. É um recorte de nicho do L02 e cabe melhor como pacote de modelos ou ângulo de anúncio do que como produto separado. Evitar o gancho BR 'Ganhe até R$200 por convite'.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=invitaci%C3%B3n%20digital%20XV%20a%C3%B1os&search_type=keyword_unordered
L05,Pack de video-invitaciones animadas para revender,Kit de revenda (vídeo templates),"Convites em vídeo (infantil, XV, boda) editáveis em Canva, PowerPoint ou CapCut. O comprador troca os dados e vende cada vídeo por ~US$10–20.","MX, PE, CO; BR como espelho",https://www.facebook.com/ads/library/?id=28668551599495122 | https://www.facebook.com/ads/library/?id=1950759622550013 | https://www.facebook.com/ads/library/?id=1412094170985815 | https://www.facebook.com/ads/library/?id=1084722294422694 | https://hotmart.com/es/marketplace/productos/pack-de-190-video-invitaciones-digitales-para-cumpleanos/N84722082H | https://hotmart.com/es/marketplace/productos/negocio-de-invitaciones-infantiles-de-principiante-a-experto/I86554392L,"Someri MXN 99–119,20; vídeo ao consumidor $350 MXN (~US$19); packs Hotmart não verificados",5,"38,3 (BR, 'CONVITES CINEMATOGRÁFICOS'); ES 21,4 (Web Online)",8,'video invitación' = 1.955 (ruído); 'video personalizado cumpleaños' = 184,Média nas duas línguas.,Promessa de ganho ('listas para VENDER') com demonstração do vídeo.,"Há 2 packs na Hotmart. Anunciantes B2C: Den y Lastra, InviVideo CUU, Angie, Video invitaciones Reina. No BR, a Convitia vende 'convites cinematográficos'.","E2. E1 se vier como curso. Risco de PI (personagens Disney/Pixar). É template, não ferramenta.",fase1_meta_servicos; fase1_hipoteses,não,"Passa, no limite. A demo do vídeo animado já vende sem citar valor ('edita en Canva desde tu celular') e há ângulo duplo (a festa do próprio filho). É template, então o custo marginal é zero, e uns 50 vídeos editáveis em Canva ou CapCut saem em 14 dias. Riscos: PI dos packs do mercado (Disney/Pixar), o ângulo observado é 'listas para VENDER', e é template, não ferramenta.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=video%20invitaci%C3%B3n&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=video%20personalizado%20cumplea%C3%B1os&search_type=keyword_unordered
L06,Mega pack de convites digitais editáveis no Canva/PPT 'listos para vender',Kit de revenda (templates),"Centenas ou milhares de convites editáveis (boda, XV, bautizo, cumpleaños, baby shower) com licença comercial e mini-guia de venda pelo WhatsApp.","LATAM em USD, PE, CL, CO; anunciantes BR vendendo em ES",https://www.facebook.com/ads/library/?id=1708910720392963 | https://www.facebook.com/ads/library/?id=1376630554316244 | https://www.facebook.com/ads/library/?id=1529789795491834 | https://www.facebook.com/ads/library/?id=3711236485701842 | https://pay.hotmart.com/T102280557H | https://hotmart.com/es/marketplace/productos/mega-pack-de-invitaciones-digitales/N86477437U,"US$3,7–10 (CLP 3.500; 6U$D; Hotmart US$5 e 10); guerra de preço entre US$3 e 6",12,"118,8 (Kit Digital, CLP)",17,'vender invitaciones digitales' = 88; 'invitaciones editables' = 345; 'plantillas de invitaciones' = 262,ES: saturada. BR: formato comum (Canva Para Noivas).,Majoritariamente promessa de ganho; parte demonstra o produto.,"Kit Digital tem 17 anúncios. Genios Online/Morador rodam há 77 d. Mega Plantillas tem 10 há 49,5 d. A rede 6U$D roda em 4 ou mais páginas com rotação a cada 3–4,5 d. Há pelo menos 12 produtos na Hotmart.",E2 forte ('Emprende desde casa'). E4 leve (packs revendáveis). Mercado comoditizado.,fase1_meta_servicos; fase1_meta_kits; demanda,não,"Passa com ressalvas. Parte dos anúncios já só demonstra o pack (Kit Digital, 118,8 d), 'emprende' sem valor é permitido e há ângulo duplo (evento próprio). O custo marginal é zero e umas 150–300 peças originais em Canva saem em 14 dias. Não cai em E4 porque o valor está em vender convites, não em revender o pack. Mesmo assim, o mercado tem cara de PLR (rede 6U$D, mais de 12 produtos iguais na Hotmart): é obrigatório conteúdo original e licença só de uso comercial.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=vender%20invitaciones%20digitales&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=invitaciones%20editables&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20de%20invitaciones&search_type=keyword_unordered
L07,Curso 'emprende con invitaciones digitales/interactivas',Curso (sinalizar E1),"Curso em módulos que ensina a criar e vender convites digitais, às vezes com pack de modelos de bônus.","CO, PE, MX (Hotmart ES)",https://pay.hotmart.com/V103706751K | https://hotmart.com/es/marketplace/productos/negocio-de-invitaciones-infantiles-de-principiante-a-experto/I86554392L,US$10 ('Invitaciones Digitales desde Cero'),"3 citados (Web Online, Genios Online/Morador, Invita y Emprende); total não verificado",77 (Genios Online/Morador),9,'emprende invitaciones interactivas' = 9,não verificado,Promessa de ganho,"Web Online: 'CURSO PASO A PASO +1200 INVITACIONES listas para VENDER', 8–9 anúncios há 21,4 d. Há ainda cursos na Hotmart, Udemy e tiendup.",E1 (curso). E2 (promessa de renda).,fase1_meta_kits; fase1_meta_servicos; fase1_hotmart_es; fase1_hipoteses,sim (E1),"O núcleo é um curso em módulos ('CURSO PASO A PASO'), que depende de gente real gravando aulas, e o ângulo observado é promessa de ganho (também E2).",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=emprende%20invitaciones%20interactivas&search_type=keyword_unordered
L08,Página-presente digital B2C em espanhol (o Mimo Gift em ES),Produto personalizado pronto B2C (editor),"Editor que gera uma página com fotos, mensagem, música, QR e final interativo, com ângulos por destinatário (pareja, mamá, amigo, graduação, desculpas).",Espanha e LATAM (web); na Meta ES nada isolado,https://qlovy.com/es/blog/regalo-digital-gratis | https://miyogift.com/es | https://iloveyou.gift/ | https://gifft.me/es | https://www.facebook.com/ads/library/?id=945751598008146 | https://www.facebook.com/ads/library/?id=1433593615534414,iloveyou.gift 'desde $5'; QLovy grátis por 24 h e planos pagos (valor não verificado); Mimo US$8–9,Não verificado na Meta ES; pelo menos 4 concorrentes web em ES,"ES: não verificado. BR B2C: 457,1.",não verificado,'página de amor' = 3.633–3.835 (ruído); 'regalo digital' = 7.556 (ruído); 'página personalizada para tu pareja' = 129,"BR: validado e longevo. ES: pouco visível na Meta, com concorrentes web existentes.",Presente emocional,"As buscas 'página de amor', 'regalo digital' e 'sorpresa digital' só trouxeram ruído. Há concorrentes web ativos em ES. Impulso digital (PEN) roda 5 anúncios há 11,2 d com 'Flores Amarillas', sazonal.","Nenhuma. É o próprio case, como controle ou extensão.",fase1_meta_servicos; fase1_hipoteses,sim (E0),"É presente emocional de uso próprio (o comprador dá a página à parceira ou à mãe), não produto de renda extra. É o case e controle do próprio Mimo e não cai em E1–E5, mas está fora do escopo da missão.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=p%C3%A1gina%20de%20amor&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=regalo%20digital&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=p%C3%A1gina%20personalizada%20para%20tu%20pareja&search_type=keyword_unordered
L09,Kit de festa temática editável no Canva (uso próprio),Kit editável / papelaria de festa,"Milhares de modelos por tema (cumpleaños, bautizo, baby shower) editáveis no celular: convite, topo, etiquetas, candy bar, cajitas.","MX, CO, AR, CL, PE, EC, US; muitos operadores BRL",https://www.facebook.com/ads/library/?id=1322083110140484 | https://www.facebook.com/ads/library/?id=2072230433424563 | https://www.facebook.com/ads/library/?id=1043999145023859 | https://pay.hotmart.com/S103755914P | https://pay.hotmart.com/F103010959C | https://pay.hotmart.com/Q103662817T,"US$3,7–17 (CLP 3.500; Hotmart US$5–10; 'Kits para fiestas editables' US$17; MXN 89)",12,"81,2 (DecoKit Shop; 90,2 em outra medição); cienacres.imprimibles tem 468 (ver L10)",160 (DecoKit Shop),'fiesta en Canva plantillas' = 150; 'kit de cumpleaños editable' = 26; BR 'kit festa editável' = 74,"ES: saturada, com arbitragem BR em curso.",Principal: festa WOW sem decoradora. Secundário: revender.,"DecoKit Shop tem 160 anúncios ativos e ~12 ângulos ('Crea toda la fiesta en Canva'). No BR, Festa 550 tem 17 há 35,7 d. Fiesta en Casa (BRL) usa 'Crea tu fiesta sin ser decoradora'.",E2 parcial (ângulo '¿Y si empiezas a venderlos?'). Risco de PI com personagens licenciados.,fase1_meta_kits; brasil_espelho; fase1_hotmart_es,não,"Não cai em E0 porque o ângulo duplo aparece nos anúncios: a DecoKit usa 'festa WOW sem decoradora' como gancho principal e '¿Y si empiezas a venderlos?' como secundário. O gancho principal não promete ganho, o custo marginal é zero e umas 20–30 temáticas originais em Canva saem em 14 dias. Riscos: PI de personagens licenciados e sobreposição com o L10.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=fiesta%20en%20Canva%20plantillas&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=kit%20de%20cumplea%C3%B1os%20editable&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=kit%20festa%20edit%C3%A1vel&search_type=keyword_unordered
L10,Biblioteca de papelaria criativa editável (+10.000 recursos) para vender lembrancinhas,Kit editável / papelaria criativa,"Pack no Canva e em PDF com cajitas, toppers, letras 3D, etiquetas e fundos. A compradora imprime, monta e vende.","MX, CO, AR, CL, PE, UY, US; muitas páginas BRL",https://www.facebook.com/ads/library/?id=1054639970312774 | https://www.facebook.com/ads/library/?id=1788589162459216 | https://www.facebook.com/ads/library/?id=1517888309821966 | https://www.facebook.com/ads/library/?id=1477793531027394 | https://mundocreativo.blog/products/kit-de-papeleria | https://hotmart.com/es/marketplace/productos/hagsxd-papeleria-creativa-osm6z/R102572444D,"ARS 17.990 (cheio 45.900); MXN 89 (~US$4,8); CLP 3.990 (~US$4,3); COP 9.900 (~US$2,5)",25 (páginas distintas; proxy do top 50),"469,5 (cienacres.imprimibles); Papelería Creativa (BR) 101,9",66,'papelería creativa' = 699; 'plantillas editables para vender' = 420; 'imprimibles para vender' = 159; 'papelería creativa kit plantillas' = 54,ES: saturada. BR: origem da oferta.,"Kit ('+10,000 recursos') e negócio leve ('Tu negocio puede empezar con esto').",É o maior cluster multi-anunciante do território. Mundo Creativo Digital tem 66 anúncios da mesma oferta. É a oferta brasileira 'Papelaria Criativa' traduzida para o espanhol.,"E4 possível (PLR, personagens). E2 leve.",fase1_meta_kits; meta_artesanato_recetas_proveedores_templates_ES,não,"Passa com ressalvas. O ângulo é o kit ('+10,000 recursos', 'Tu negocio puede empezar con esto'), sem valor em dinheiro. Quem imprime é a compradora, então o produtor não tem custo marginal, e um MVP original de cerca de 500–1.000 peças sai em 14 dias. Alerta: a oferta de mercado é a 'Papelaria Criativa' BR revendida por 25 páginas (cara de PLR). Copiar esse volume exigiria PLR, que cai em E4 e na regra de produto repetido da Hotmart. Tem de ser original e sem personagens.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=papeler%C3%ADa%20creativa&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20editables%20para%20vender&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=imprimibles%20para%20vender&search_type=keyword_unordered
